timestamp,power_w,temperature_c,gpu_util_pct,memory_used_mib,graphics_clock_mhz,memory_clock_mhz
2026/07/30 23:14:45.734, 14.86, 37, 0, 758, 180, 405
2026/07/30 23:14:46.797, 82.10, 38, 0, 1307, 2610, 13365
2026/07/30 23:14:47.868, 81.88, 38, 0, 51409, 2610, 13365
2026/07/30 23:14:48.941, 101.11, 39, 85, 51409, 2617, 13365
2026/07/30 23:14:50.017, 104.12, 39, 85, 51409, 2610, 13365
2026/07/30 23:14:51.099, 103.67, 39, 86, 51409, 2617, 13365
2026/07/30 23:14:52.167, 105.89, 39, 1, 93059, 2610, 13365
2026/07/30 23:14:53.231, 97.25, 39, 0, 93059, 2617, 13365
2026/07/30 23:14:54.295, 80.72, 38, 0, 93059, 2610, 13365
2026/07/30 23:14:55.358, 80.55, 38, 0, 93059, 2610, 13365
2026/07/30 23:14:56.420, 90.54, 39, 11, 93127, 2610, 13365
2026/07/30 23:14:57.493, 173.79, 40, 80, 93183, 2422, 13365
2026/07/30 23:14:58.575, 131.45, 40, 86, 93183, 2610, 13365
2026/07/30 23:14:59.653, 177.54, 40, 82, 93215, 2610, 13365
2026/07/30 23:15:00.734, 131.45, 40, 86, 93215, 2610, 13365
2026/07/30 23:15:01.813, 175.00, 41, 81, 93247, 2565, 13365
2026/07/30 23:15:02.891, 131.18, 40, 86, 93247, 2610, 13365
2026/07/30 23:15:03.964, 174.95, 40, 84, 93279, 2610, 13365
2026/07/30 23:15:05.040, 131.60, 41, 85, 93279, 2610, 13365
2026/07/30 23:15:06.108, 158.94, 41, 83, 93311, 2610, 13365
2026/07/30 23:15:07.177, 151.41, 41, 85, 93311, 2610, 13365
2026/07/30 23:15:08.247, 132.93, 41, 86, 93311, 2610, 13365
2026/07/30 23:15:09.321, 182.28, 42, 83, 93343, 2595, 13365
2026/07/30 23:15:10.394, 131.56, 41, 86, 93343, 2610, 13365
2026/07/30 23:15:11.470, 181.93, 44, 89, 93375, 2610, 13365
2026/07/30 23:15:12.548, 131.93, 41, 85, 93375, 2610, 13365
2026/07/30 23:15:13.622, 181.72, 42, 83, 93407, 2475, 13365
2026/07/30 23:15:14.697, 132.03, 41, 83, 93407, 2475, 13365
2026/07/30 23:15:15.776, 182.17, 41, 82, 93439, 2610, 13365
2026/07/30 23:15:16.856, 133.16, 42, 85, 93439, 2610, 13365
2026/07/30 23:15:17.928, 132.52, 42, 86, 93439, 2610, 13365
2026/07/30 23:15:19.004, 178.41, 42, 84, 93471, 2325, 13365
2026/07/30 23:15:20.078, 132.66, 42, 84, 93471, 2610, 13365
2026/07/30 23:15:21.155, 184.03, 42, 83, 93503, 2542, 13365
2026/07/30 23:15:22.231, 133.03, 42, 86, 93503, 2610, 13365
2026/07/30 23:15:23.308, 184.00, 47, 98, 93535, 2610, 13365
2026/07/30 23:15:24.381, 133.86, 42, 87, 93535, 2610, 13365
2026/07/30 23:15:25.457, 184.18, 42, 84, 93567, 2610, 13365
2026/07/30 23:15:26.537, 134.73, 43, 86, 93567, 2610, 13365
2026/07/30 23:15:27.615, 132.65, 42, 84, 93567, 2610, 13365
2026/07/30 23:15:28.691, 183.11, 44, 86, 93599, 2610, 13365
2026/07/30 23:15:29.768, 134.16, 42, 85, 93599, 2610, 13365
2026/07/30 23:15:30.841, 181.67, 43, 84, 93631, 2265, 13365
2026/07/30 23:15:31.920, 134.68, 42, 86, 93631, 2610, 13365
2026/07/30 23:15:32.995, 181.39, 46, 83, 93663, 2610, 13365
2026/07/30 23:15:34.071, 133.02, 43, 85, 93663, 2610, 13365
2026/07/30 23:15:35.143, 185.90, 49, 100, 93695, 2610, 13365
2026/07/30 23:15:36.220, 135.12, 42, 85, 93695, 2610, 13365
2026/07/30 23:15:37.289, 136.86, 43, 84, 93727, 2610, 13365
2026/07/30 23:15:38.363, 179.31, 43, 84, 93727, 2610, 13365
2026/07/30 23:15:39.440, 134.92, 43, 86, 93727, 2610, 13365
2026/07/30 23:15:40.514, 184.10, 45, 82, 93759, 2580, 13365
2026/07/30 23:15:41.590, 135.20, 43, 85, 93759, 2610, 13365
2026/07/30 23:15:42.663, 183.24, 44, 83, 93791, 2212, 13365
2026/07/30 23:15:43.736, 134.33, 43, 84, 93791, 2610, 13365
2026/07/30 23:15:44.806, 188.66, 43, 78, 93823, 2610, 13365
2026/07/30 23:15:45.883, 135.04, 43, 86, 93823, 2610, 13365
2026/07/30 23:15:46.958, 136.02, 43, 85, 93855, 2610, 13365
2026/07/30 23:15:48.034, 184.69, 44, 85, 93855, 2610, 13365
2026/07/30 23:15:49.110, 136.30, 43, 85, 93855, 2610, 13365
2026/07/30 23:15:50.187, 190.89, 44, 84, 93887, 2535, 13365
2026/07/30 23:15:51.263, 135.43, 43, 84, 93887, 2610, 13365
2026/07/30 23:15:52.339, 185.33, 49, 98, 93919, 2610, 13365
2026/07/30 23:15:53.408, 134.26, 46, 87, 93919, 2610, 13365
2026/07/30 23:15:54.479, 191.20, 44, 84, 93951, 2610, 13365
2026/07/30 23:15:55.548, 139.99, 43, 86, 93951, 2685, 13365
2026/07/30 23:15:56.623, 134.37, 43, 79, 93951, 2610, 13365
2026/07/30 23:15:57.698, 185.28, 43, 83, 93983, 2610, 13365
2026/07/30 23:15:58.779, 136.81, 43, 83, 93983, 2610, 13365
2026/07/30 23:15:59.858, 186.57, 44, 81, 94015, 2190, 13365
2026/07/30 23:16:00.937, 135.96, 44, 85, 94015, 2610, 13365
2026/07/30 23:16:02.018, 193.61, 45, 80, 94047, 2610, 13365
2026/07/30 23:16:03.101, 134.20, 43, 86, 94047, 2610, 13365
2026/07/30 23:16:04.182, 193.28, 52, 93, 94079, 2610, 13365
2026/07/30 23:16:05.264, 137.13, 44, 85, 94079, 2610, 13365
2026/07/30 23:16:06.334, 135.43, 45, 84, 94111, 2610, 13365
2026/07/30 23:16:07.413, 186.43, 44, 83, 94111, 2610, 13365
2026/07/30 23:16:08.491, 138.17, 44, 85, 94111, 2610, 13365
2026/07/30 23:16:09.570, 187.82, 44, 83, 94143, 2632, 13365
2026/07/30 23:16:10.651, 137.50, 44, 85, 94143, 2610, 13365
2026/07/30 23:16:11.729, 194.14, 45, 81, 94175, 2205, 13365
2026/07/30 23:16:12.811, 135.45, 44, 84, 94175, 2610, 13365
2026/07/30 23:16:13.895, 195.54, 44, 78, 94207, 2677, 13365
2026/07/30 23:16:14.975, 137.89, 44, 83, 94207, 2610, 13365
2026/07/30 23:16:16.052, 185.42, 49, 85, 94239, 2610, 13365
2026/07/30 23:16:17.120, 175.16, 44, 84, 94239, 2610, 13365
2026/07/30 23:16:18.198, 138.47, 44, 84, 94239, 2610, 13365
2026/07/30 23:16:19.275, 190.80, 45, 85, 94271, 2595, 13365
2026/07/30 23:16:20.349, 139.22, 44, 86, 94271, 2610, 13365
2026/07/30 23:16:21.428, 197.71, 50, 100, 94303, 2610, 13365
2026/07/30 23:16:22.506, 135.45, 44, 84, 94303, 2610, 13365
2026/07/30 23:16:23.576, 198.87, 47, 93, 94335, 2610, 13365
2026/07/30 23:16:24.642, 139.75, 44, 86, 94335, 2610, 13365
2026/07/30 23:16:25.711, 142.25, 45, 82, 94367, 2610, 13365
2026/07/30 23:16:26.785, 187.36, 44, 85, 94367, 2610, 13365
2026/07/30 23:16:27.858, 139.01, 44, 82, 94367, 2610, 13365
2026/07/30 23:16:28.933, 193.47, 45, 83, 94399, 2137, 13365
2026/07/30 23:16:30.004, 140.49, 44, 84, 94399, 2610, 13365
2026/07/30 23:16:31.079, 193.44, 47, 82, 94431, 2122, 13365
2026/07/30 23:16:32.151, 137.16, 46, 85, 94431, 2617, 13365
2026/07/30 23:16:33.226, 200.76, 46, 78, 94463, 2610, 13365
2026/07/30 23:16:34.294, 141.30, 45, 85, 94463, 2610, 13365
2026/07/30 23:16:35.360, 153.27, 45, 82, 94495, 2610, 13365
2026/07/30 23:16:36.433, 195.71, 45, 85, 94495, 2647, 13365
2026/07/30 23:16:37.507, 141.27, 44, 86, 94495, 2610, 13365
2026/07/30 23:16:38.581, 202.97, 45, 84, 94527, 2730, 13365
2026/07/30 23:16:39.653, 142.11, 44, 83, 94527, 2700, 13365
2026/07/30 23:16:40.732, 198.85, 46, 82, 94559, 2475, 13365
2026/07/30 23:16:41.807, 140.19, 45, 86, 94559, 2610, 13365
2026/07/30 23:16:42.876, 203.28, 44, 81, 94591, 2610, 13365
2026/07/30 23:16:43.952, 141.47, 45, 85, 94591, 2610, 13365
2026/07/30 23:16:45.023, 137.09, 48, 85, 94623, 2610, 13365
2026/07/30 23:16:46.093, 197.26, 45, 86, 94623, 2610, 13365
2026/07/30 23:16:47.168, 142.39, 45, 85, 94623, 2610, 13365
2026/07/30 23:16:48.250, 197.75, 45, 84, 94655, 2182, 13365
2026/07/30 23:16:49.326, 137.09, 45, 84, 94655, 2610, 13365
2026/07/30 23:16:50.397, 201.10, 52, 100, 94687, 2610, 13365
2026/07/30 23:16:51.477, 141.80, 45, 85, 94687, 2610, 13365
2026/07/30 23:16:52.552, 205.68, 50, 100, 94719, 2610, 13365
2026/07/30 23:16:53.623, 146.16, 45, 85, 94719, 2610, 13365
2026/07/30 23:16:54.696, 138.50, 44, 84, 94719, 2610, 13365
2026/07/30 23:16:55.766, 200.30, 45, 85, 94751, 2730, 13365
2026/07/30 23:16:56.838, 143.96, 45, 85, 94751, 2610, 13365
2026/07/30 23:16:57.914, 201.79, 48, 90, 94783, 2572, 13365
2026/07/30 23:16:58.988, 136.56, 46, 88, 94783, 2685, 13365
2026/07/30 23:17:00.063, 201.87, 46, 82, 94815, 2257, 13365
2026/07/30 23:17:01.142, 143.40, 45, 86, 94815, 2610, 13365
2026/07/30 23:17:02.208, 169.61, 45, 80, 94847, 2610, 13365
2026/07/30 23:17:03.278, 174.62, 45, 84, 94847, 2610, 13365
2026/07/30 23:17:04.345, 142.77, 45, 85, 94847, 2610, 13365
2026/07/30 23:17:05.420, 203.53, 46, 84, 94879, 2032, 13365
2026/07/30 23:17:06.498, 144.19, 45, 85, 94879, 2610, 13365
2026/07/30 23:17:07.576, 205.41, 46, 83, 94911, 2047, 13365
2026/07/30 23:17:08.655, 143.34, 45, 85, 94911, 2610, 13365
2026/07/30 23:17:09.728, 195.43, 45, 78, 94943, 2700, 13365
2026/07/30 23:17:10.803, 158.66, 45, 85, 94943, 2610, 13365
2026/07/30 23:17:11.880, 140.22, 45, 86, 94943, 2610, 13365
2026/07/30 23:17:12.955, 204.65, 46, 83, 94975, 2077, 13365
2026/07/30 23:17:14.033, 145.73, 45, 84, 94975, 2610, 13365
2026/07/30 23:17:15.116, 206.29, 47, 85, 95007, 2415, 13365
2026/07/30 23:17:16.192, 138.56, 45, 86, 95007, 2610, 13365
2026/07/30 23:17:17.269, 205.99, 51, 100, 95039, 2610, 13365
2026/07/30 23:17:18.346, 145.32, 45, 85, 95039, 2610, 13365
2026/07/30 23:17:19.413, 189.01, 45, 83, 95071, 2610, 13365
