timestamp,power_w,temperature_c,gpu_util_pct,memory_used_mib,graphics_clock_mhz,memory_clock_mhz
2026/07/30 23:51:24.997, 18.76, 41, 0, 770, 180, 405
2026/07/30 23:51:26.062, 81.97, 42, 0, 1307, 2610, 13365
2026/07/30 23:51:27.135, 82.50, 42, 0, 86369, 2610, 13365
2026/07/30 23:51:28.210, 102.34, 42, 84, 86369, 2610, 13365
2026/07/30 23:51:29.282, 103.50, 43, 84, 86369, 2610, 13365
2026/07/30 23:51:30.358, 103.48, 43, 83, 86369, 2617, 13365
2026/07/30 23:51:31.432, 103.87, 43, 84, 86369, 2610, 13365
2026/07/30 23:51:32.511, 103.70, 43, 85, 86369, 2617, 13365
2026/07/30 23:51:33.580, 101.61, 42, 4, 93141, 2610, 13365
2026/07/30 23:51:34.648, 92.30, 42, 0, 93141, 2617, 13365
2026/07/30 23:51:35.715, 83.60, 42, 0, 93141, 2610, 13365
2026/07/30 23:51:36.776, 80.26, 42, 0, 93141, 2610, 13365
2026/07/30 23:51:37.850, 176.41, 48, 95, 93223, 2055, 13365
2026/07/30 23:51:38.925, 281.54, 54, 77, 93223, 2055, 13365
2026/07/30 23:51:39.993, 263.98, 47, 100, 93223, 2587, 13365
2026/07/30 23:51:41.066, 280.41, 52, 78, 93223, 2002, 13365
2026/07/30 23:51:42.139, 296.22, 47, 100, 93223, 2490, 13365
2026/07/30 23:51:43.204, 286.91, 55, 77, 93223, 2002, 13365
2026/07/30 23:51:44.268, 261.64, 48, 78, 93223, 2152, 13365
2026/07/30 23:51:45.343, 292.51, 48, 100, 93223, 2422, 13365
2026/07/30 23:51:46.408, 314.70, 52, 89, 93223, 1980, 13365
2026/07/30 23:51:47.484, 299.39, 55, 76, 93223, 2002, 13365
2026/07/30 23:51:48.554, 315.95, 48, 100, 93223, 2565, 13365
2026/07/30 23:51:49.627, 297.18, 52, 89, 93223, 1972, 13365
2026/07/30 23:51:50.693, 296.75, 57, 74, 93223, 2070, 13365
2026/07/30 23:51:51.757, 297.32, 58, 75, 93223, 2002, 13365
2026/07/30 23:51:52.823, 300.17, 49, 93, 93223, 2527, 13365
2026/07/30 23:51:53.895, 301.58, 54, 98, 93223, 2122, 13365
2026/07/30 23:51:54.968, 301.10, 58, 75, 93223, 1980, 13365
2026/07/30 23:51:56.044, 300.98, 49, 82, 93223, 2332, 13365
2026/07/30 23:51:57.122, 318.39, 51, 100, 93223, 2415, 13365
2026/07/30 23:51:58.198, 318.22, 54, 95, 93223, 1957, 13365
2026/07/30 23:51:59.267, 300.87, 51, 100, 93223, 2152, 13365
2026/07/30 23:52:00.338, 318.26, 54, 89, 93223, 1957, 13365
2026/07/30 23:52:01.408, 305.41, 60, 72, 93223, 1957, 13365
2026/07/30 23:52:02.487, 318.61, 50, 82, 93223, 2407, 13365
2026/07/30 23:52:03.566, 318.96, 52, 84, 93223, 2430, 13365
2026/07/30 23:52:04.637, 302.42, 55, 100, 93223, 1965, 13365
2026/07/30 23:52:05.710, 306.79, 59, 98, 93223, 1965, 13365
2026/07/30 23:52:06.776, 310.05, 55, 100, 93223, 1950, 13365
2026/07/30 23:52:07.845, 319.43, 59, 100, 93223, 1972, 13365
2026/07/30 23:52:08.909, 305.59, 57, 80, 93223, 2175, 13365
2026/07/30 23:52:09.979, 305.21, 52, 75, 93223, 2542, 13365
2026/07/30 23:52:11.048, 316.86, 53, 88, 93223, 2227, 13365
2026/07/30 23:52:12.123, 310.17, 57, 100, 93223, 1950, 13365
2026/07/30 23:52:13.193, 307.02, 60, 100, 93223, 1965, 13365
2026/07/30 23:52:14.274, 311.40, 58, 97, 93223, 1965, 13365
2026/07/30 23:52:15.352, 318.42, 57, 100, 93223, 1957, 13365
2026/07/30 23:52:16.429, 319.98, 61, 100, 93223, 1935, 13365
2026/07/30 23:52:17.507, 303.56, 61, 83, 93223, 2085, 13365
