timestamp,power_w,temperature_c,gpu_util_pct,memory_used_mib,graphics_clock_mhz,memory_clock_mhz
2026/07/30 23:05:08.346, 35.51, 54, 0, 770, 180, 7001
2026/07/30 23:05:09.416, 92.06, 54, 0, 1307, 2610, 13365
2026/07/30 23:05:10.486, 91.55, 54, 17, 88989, 2610, 13365
2026/07/30 23:05:11.567, 110.12, 54, 84, 88989, 2617, 13365
2026/07/30 23:05:12.647, 111.89, 54, 85, 88989, 2617, 13365
2026/07/30 23:05:13.721, 111.57, 54, 85, 88989, 2610, 13365
2026/07/30 23:05:14.797, 111.24, 53, 81, 88989, 2617, 13365
2026/07/30 23:05:15.876, 111.07, 53, 85, 88989, 2610, 13365
2026/07/30 23:05:16.950, 113.49, 53, 0, 93035, 2610, 13365
2026/07/30 23:05:18.016, 106.64, 53, 0, 93035, 2617, 13365
2026/07/30 23:05:19.082, 93.89, 52, 0, 93035, 2610, 13365
2026/07/30 23:05:20.144, 90.41, 52, 0, 93035, 2610, 13365
2026/07/30 23:05:21.214, 228.50, 59, 100, 93149, 2040, 13365
2026/07/30 23:05:22.279, 356.94, 64, 91, 93149, 1995, 13365
2026/07/30 23:05:23.344, 336.62, 60, 100, 93149, 2227, 13365
2026/07/30 23:05:24.412, 355.82, 57, 89, 93149, 2017, 13365
2026/07/30 23:05:25.475, 351.20, 63, 100, 93149, 1912, 13365
2026/07/30 23:05:26.544, 343.45, 61, 95, 93149, 2107, 13365
2026/07/30 23:05:27.612, 341.96, 64, 97, 93149, 1875, 13365
2026/07/30 23:05:28.684, 355.94, 59, 93, 93149, 1957, 13365
2026/07/30 23:05:29.751, 360.09, 64, 98, 93149, 1890, 13365
2026/07/30 23:05:30.818, 346.94, 61, 95, 93149, 1972, 13365
2026/07/30 23:05:31.884, 339.98, 64, 98, 93149, 1912, 13365
2026/07/30 23:05:32.952, 348.33, 61, 100, 93149, 1972, 13365
2026/07/30 23:05:34.019, 361.17, 59, 82, 93149, 1837, 13365
2026/07/30 23:05:35.083, 349.18, 61, 100, 93149, 1957, 13365
2026/07/30 23:05:36.153, 349.71, 58, 81, 93149, 1830, 13365
2026/07/30 23:05:37.221, 360.82, 61, 100, 93149, 1980, 13365
2026/07/30 23:05:38.289, 360.38, 59, 81, 93149, 1807, 13365
2026/07/30 23:05:39.358, 346.92, 61, 100, 93149, 2040, 13365
2026/07/30 23:05:40.424, 360.79, 63, 98, 93149, 2025, 13365
2026/07/30 23:05:41.490, 348.42, 66, 94, 93149, 1837, 13365
2026/07/30 23:05:42.559, 347.68, 63, 95, 93149, 1912, 13365
2026/07/30 23:05:43.623, 340.81, 65, 98, 93149, 1867, 13365
2026/07/30 23:05:44.696, 357.58, 63, 94, 93149, 1905, 13365
2026/07/30 23:05:45.761, 355.72, 65, 98, 93149, 1860, 13365
2026/07/30 23:05:46.834, 351.11, 62, 93, 93149, 1950, 13365
2026/07/30 23:05:47.899, 343.95, 65, 100, 93149, 1837, 13365
2026/07/30 23:05:48.963, 344.32, 63, 100, 93149, 1957, 13365
2026/07/30 23:05:50.033, 348.84, 66, 90, 93149, 1807, 13365
2026/07/30 23:05:51.103, 358.33, 64, 100, 93149, 1965, 13365
2026/07/30 23:05:52.169, 352.15, 66, 94, 93149, 1837, 13365
2026/07/30 23:05:53.233, 356.22, 64, 96, 93149, 1920, 13365
2026/07/30 23:05:54.299, 350.67, 66, 98, 93149, 1830, 13365
2026/07/30 23:05:55.365, 347.45, 62, 92, 93149, 1912, 13365
2026/07/30 23:05:56.430, 345.44, 65, 85, 93149, 1785, 13365
2026/07/30 23:05:57.496, 343.67, 63, 100, 93149, 1935, 13365
2026/07/30 23:05:58.562, 342.53, 65, 85, 93149, 1777, 13365
2026/07/30 23:05:59.633, 356.24, 64, 100, 93149, 1927, 13365
2026/07/30 23:06:00.698, 350.41, 67, 92, 93149, 1807, 13365
2026/07/30 23:06:01.764, 351.65, 65, 97, 93149, 1897, 13365
2026/07/30 23:06:02.836, 349.36, 67, 98, 93149, 1837, 13365
2026/07/30 23:06:03.901, 348.50, 62, 91, 93149, 1905, 13365
2026/07/30 23:06:04.970, 361.08, 66, 87, 93149, 1755, 13365
2026/07/30 23:06:06.033, 340.36, 64, 100, 93149, 1965, 13365
2026/07/30 23:06:07.101, 355.07, 67, 89, 93149, 1785, 13365
2026/07/30 23:06:08.169, 357.37, 65, 100, 93149, 1920, 13365
2026/07/30 23:06:09.241, 352.70, 67, 95, 93149, 1792, 13365
2026/07/30 23:06:10.304, 349.25, 65, 95, 93149, 1920, 13365
2026/07/30 23:06:11.368, 342.46, 67, 99, 93149, 1815, 13365
2026/07/30 23:06:12.434, 348.75, 64, 100, 93149, 1942, 13365
2026/07/30 23:06:13.497, 349.92, 67, 89, 93149, 1777, 13365
2026/07/30 23:06:14.560, 357.89, 65, 100, 93149, 1942, 13365
2026/07/30 23:06:15.625, 349.95, 68, 92, 93149, 1807, 13365
2026/07/30 23:06:16.694, 356.96, 65, 100, 93149, 1905, 13365
2026/07/30 23:06:17.763, 352.07, 67, 96, 93149, 1800, 13365
2026/07/30 23:06:18.831, 349.34, 65, 93, 93149, 1875, 13365
2026/07/30 23:06:19.893, 349.50, 65, 100, 93149, 1815, 13365
2026/07/30 23:06:20.957, 352.01, 65, 100, 93149, 1905, 13365
2026/07/30 23:06:22.024, 348.74, 68, 96, 93149, 1800, 13365
2026/07/30 23:06:23.091, 360.21, 65, 95, 93149, 1927, 13365
